Cancer Type,Source URL,General Description,Prognosis (Vooruitzichten),Symptoms (Symptomen),Causes (Oorzaken),Treatments (Behandeling)
Alvleesklierkanker,https://www.kanker.nl/kankersoorten/alvleesklierkanker/algemeen/wat-is-alvleesklierkanker,Alvleesklierkanker is kanker die in de alvleesklier ontstaat. De medische term hiervoor is pancreascarcinoom of pancreaskanker. De vooruitzichten bij alvleesklierkanker zijn meestal niet goed.,"De vooruitzichten bij alvleesklierkanker zijn niet goed. Dat komt omdat alvleesklierkanker vaak pas wordt ontdekt als je al uitzaaiingen hebt. Maar ook als je geen uitzaaiingen hebt, is de kans klein dat je beter wordt. Vijf jaar na de diagnose leven nog ongeveer 5 van de 100 mensen. De beste overlevingskansen zijn als de tumor met een operatie verwijderd kan worden, in combinatie met chemotherapie behandeling. Bekijk de overlevingscijfers van alvleesklierkanker . ","De meeste mensen met alvleesklierkanker hebben in het begin geen klachten. Als de tumor groeit, kun je last krijgen van bijvoorbeeld geelzucht, afvallen, pijn of misselijkheid. Lees verder over de symptomen van alvleesklierkanke r . ",De precieze oorzaak van alvleesklierkanker is niet bekend. Wel zijn er factoren die de kans groter maken dat je alvleesklierkanker krijgt. Lees verder over de oorzaken en risicofactoren van alvleesklierkanke r . ,De meeste mensen met alvleesklierkanker krijgen chemotherapie of een behandeling tegen de klachten van de kanker. Soms krijg je een operatie. Dat kan meestal alleen als je geen uitzaaiingen hebt. Of als de tumor niet doorgroeit in de grote bloedvaten. Lees verder over de behandeling van alvleesklierkanke r . 
Anuskanker,https://www.kanker.nl/kankersoorten/anuskanker/algemeen/wat-is-anuskanker,Anuskanker is kanker die ontstaat in de anus. Of in de huid om de anus heen. Een ander woord voor anus is poepgat. Anuskanker komt weinig voor. Per jaar krijgen ongeveer 300 mensen de diagnose. Anuskanker heet ook wel anuscarcinoom.,"Veel mensen gaan op zoek naar wat anuskanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Je vooruitzichten hangen af van verschillende dingen. Bijvoorbeeld hoe vroeg de ziekte is ontdekt. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan meer vertellen. Bekijk de overlevingscijfers van anuskanker .",Bij anuskanker kan zitten of poepen pijnlijk zijn. Ook kun je een zwelling of knobbeltje hebben aan je anus. Of je hebt bloed bij je ontlasting (poep). Het kan ook zijn dat je vaker naar de wc moet om te poepen. Of juist minder vaak. Sommige mensen met anuskanker hebben lange tijd geen klachten. Lees verder over symptomen van anuskanker .,"De oorzaak van anuskanker is meestal een infectie met HPV. Iedereen kan een infectie met HPV krijgen. Maar de kans dat HPV tot kanker leidt, is heel klein. Lees verder over de oorzaken en risicofactoren van anuskanker .","Er zijn verschillende behandelingen mogelijk bij anuskanker. De meeste mensen krijgen bestraling. Dat kan in combinatie met chemotherapie zijn, dan heet de behandeling chemoradiatie. Lees verder over behandelingen van anuskanker ."
Atypisch fibroxanthoom,https://www.kanker.nl/kankersoorten/atypisch-fibroxanthoom/algemeen/wat-is-atypisch-fibroxanthoom,"Een atypisch fibroxanthoomis een zeldzame soort huidkanker. Deze soort huidkanker groeit snel, maar zaait bijna nooit uit.",Een atypisch fibroxanthoom is goed te behandelen. De kans dat je geneest is heel groot.,N/A,De belangrijkste risicofactor voor een atypisch fibroxanthoom is de zon. De zon geeft uv-straling af. Met veel uv-straling op je huid heb je meer kans om een atypisch fibroxanthoom te krijgen. Lees verder over de oorzaken en risicofactoren van atypisch fibroxanthoom .,Heb je een atypisch fibroxanthoom? Dan krijg je meestal een operatie om de tumor weg te halen. Lees verder over behandelingen bij atypisch fibroxanthoom .
Baarmoederhalskanker,https://www.kanker.nl/kankersoorten/baarmoederhalskanker/algemeen/wat-is-baarmoederhalskanker,Baarmoederhalskanker is kanker die in de baarmoederhals ontstaat. Het medische woord is cervixcarcinoom. Baarmoederhalskanker wordt meestal ontdekt bij het bevolkingsonderzoek baarmoederhalskanker.,"Het is begrijpelijk dat je meer wilt weten over je vooruitzichten. Is baarmoederhalskanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Dat hangt af van verschillende dingen Bijvoorbeeld van de grootte van de tumor en of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van baarmoederhalskanker .","Baarmoederhalskanker en de behandeling hebben vaak invloed op je leven. Soms kun je last blijven houden van de gevolgen van de behandeling. Bijvoorbeeld van vermoeidheid, problemen met seksualiteit of lymfoedeem. De behandeling kan ook gevolgen hebben voor je vruchtbaarheid. Lees verder over klachten na baarmoederhalskanker .",N/A,"Er zijn verschillende behandelingen voor baarmoederhalskanker. Zoals een operatie, chemoradiatie, doelgerichte therapie, chemotherapie, immunotherapie, bestraling en hyperthermie. Lees verder over behandelingen bij baarmoederhalskanker ."
Baarmoederkanker,https://www.kanker.nl/kankersoorten/baarmoederkanker/algemeen/wat-is-baarmoederkanker,Baarmoederkanker is kanker die in de baarmoeder ontstaat. Het medische woord is endometriumcarcinoom. Baarmoederkanker komt meestal voor na de overgang.,"Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is baarmoederkanker goed te behandelen en wat kun je verwachten?  Soms is daar iets over te zeggen, maar soms ook niet. Dat hangt af van verschillende dingen. Bijvoorbeeld van de grootte van de tumor en of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van baarmoederkanker .","Baarmoederkanker en de behandeling hebben vaak invloed op je leven. Vooral als je een combinatie van behandelingen hebt gehad kun je last blijven houden van de gevolgen van de behandeling. Bijvoorbeeld van vermoeidheid, lymfoedeem of seksuele problemen Lees verder over klachten na baarmoederkanker .",Er zijn risicofactoren die de kans op baarmoederkanker groter maken. Jarenlang veel oestrogeen hebben is de grootste risicofactor. Lees verder over de risicofactoren voor baarmoederkanker .,"Er zijn verschillende behandelingen mogelijk bij baarmoederkanker. Zoals een operatie, chemoradiatie, bestraling, chemotherapie, hormoontherapie of immunotherapie. Lees verder over behandelingen bij baarmoederkanker ."
Baarmoedersarcoom,https://www.kanker.nl/kankersoorten/baarmoedersarcoom/algemeen/wat-is-baarmoedersarcoom,Een baarmoedersarcoom is een zeldzame vorm van kanker in de baarmoeder. De tumor ontstaat in het spierweefsel of bindweefsel van de baarmoeder. Een ander woord voor baarmoedersarcoom is uterussarcoom.,"Het is begrijpelijk dat je meer wilt weten over je vooruitzichten. Is baarmoedersarcoom goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Dat hangt af van verschillende dingen. Bijvoorbeeld van de grootte van de tumor en of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van baarmoedersarcoom .","Baarmoedersarcoom en de behandeling hebben vaak invloed op je leven. Je kunt last blijven houden van de gevolgen van de behandeling. Bijvoorbeeld van plasklachten, darmklachten, lymfoedeem of seksuele problemen. Vooral als je een combinatie van behandelingen hebt gehad. Lees meer over klachten na baarmoedersarcoom .",Er zijn risicofactoren bekend die de kans op baarmoedersarcoom groter maken. Zoals lange tijd het medicijn tamoxifen gebruiken als hormoontherapie bij borstkanker. Lees verder over de oorzaken en risicofactoren bij baarmoedersarcoom .,"Er zijn verschillende behandelingen mogelijk bij baarmoedersarcoom. De meeste vrouwen krijgen eerst een operatie. Bestraling, chemotherapie of hormoontherapie kunnen ook behandelingen zijn. Lees verder over behandelingen bij baarmoedersarcoom ."
Basaalcelcarcinoom,https://www.kanker.nl/kankersoorten/basaalcelcarcinoom/algemeen/wat-is-basaalcelcarcinoom,Een basaalcelcarcinoom is een kwaadaardig plekje dat ontstaat op je huid. Het is de meest voorkomende vorm van huidkanker. Een basaalcelcarcinoom groeit langzaam en zaait bijna nooit uit.,Een basaalcelcarcinoom zaait bijna nooit uit. De arts kan het plekje vaak helemaal weghalen. Daarom genezen bijna alle mensen met een basaalcelcarcinoom.,N/A,Er zijn factoren die het risico op een basaalcelcarcinoom groter maken. De belangrijkste is uv-straling van de zon of zonnebank. Lees verder over de risicofactoren van een basaalcelcarcinoom .,Meestal snijdt de arts het basaalcelcarcinoom weg. Soms wordt de plek bestraald. Of krijg je een behandeling met een crème. Lees verder over behandelingen bij een basaalcelcarcinoom .
Bijnierkanker,https://www.kanker.nl/kankersoorten/bijnierkanker/algemeen/wat-is-bijnierkanker,"Bijnierkanker is kanker die ontstaat in de bijnier. De bijnieren zitten bovenop de nieren, aan de achterkant van je buik. Ze maken hormonen. Bijnierkanker komt weinig voor. Per jaar krijgen ongeveer 30 mensen de diagnose. Een ander woord voor bijnierkanker is bijniercarcinoom.","Veel mensen gaan op zoek naar wat bijnierkanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Hoe de ziekte verloopt, verschilt per persoon. De ziekte kan snel gaan, maar door de behandeling kun je soms nog een tijd leven, ook met uitzaaiingen. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de cijfers over bijnierkanker .",Bij bijnierkanker heb je niet altijd klachten. Sommige mensen krijgen een hoge bloeddruk of worden zwaarder zonder dat duidelijk is waarom. Of mensen krijgen snel blauwe plekken en hebben wondjes die niet goed genezen. Maar de klachten zijn niet bij iedereen hetzelfde. Lees verder over symptomen bij bijnierkanker .,N/A,"De meeste mensen met bijnierkanker krijgen een operatie. Dan verwijdert de arts je bijnier met de tumor erin. Maar je kunt ook medicijnen krijgen, zoals chemotherapie. Lees verder over behandelingen van bijnierkanker ."
Blaaskanker,https://www.kanker.nl/kankersoorten/blaaskanker/algemeen/wat-is-blaaskanker,"Blaaskanker is kanker van de blaas. Meestal wordt met blaaskanker urotheelcarcinoom van de blaas bedoeld, maar er zijn ook zeldzamer soorten blaaskanker.",Hoe je vooruitzichten zijn en of je kunt genezen van blaaskanker hangt vooral af van de soort blaaskanker . Je vooruitzichten zijn slechter als er al uitzaaiingen zijn wanneer je de diagnose krijgt. Het is lastig om algemene informatie te geven over jouw situatie. De vooruitzichten hangen ook af van je persoonlijke omstandigheden. Heb je vragen? Stel ze dan aan je arts. Bekijk de overlevingscijfers van blaaskanker . ,"Blaaskanker wordt vaak bij toeval ontdekt. De meeste mensen met blaaskanker hebben in het begin geen klachten. Als de tumor groeit, kun je last krijgen van bloed in je urine. Opvallend is dat je hierbij geen andere klachten hebt, zoals pijn of het gevoel van een blaasontsteking. Lees verder over de symptomen van blaaskanker . ",Roken is de belangrijkste risicofactor voor het krijgen van blaaskanker. Ook bepaalde giftige stoffen vergroten de kans dat je blaaskanker krijgt. Lees verder over de oorzaken en risicofactoren van blaaskanker . ,"Welke behandeling je krijgt, verschilt per soort blaaskanker. Als het kan, probeert de arts de tumor te verwijderen. Je kunt daarna ook nog een andere behandeling krijgen zoals chemotherapie. Lees verder over de behandeling van blaaskanker . "
Borstkanker,https://www.kanker.nl/kankersoorten/borstkanker/algemeen/wat-is-borstkanker,Borstkanker is kanker die in de borst ontstaat. Het medische woord is mammacarcinoom. In Nederland krijgt 1 op de 7 vrouwen de diagnose borstkanker.,"Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is borstkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van borstkanker hangt af van verschillende dingen. Bijvoorbeeld van de soort borstkanker die je hebt en het stadium van de ziekte bij diagnose. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers bij borstkanker .","Borstkanker en de behandeling kunnen veel invloed hebben op je leven. Sommige vrouwen blijven last houden van de gevolgen van de behandeling. Bijvoorbeeld vermoeidheid, lymfoedeem of een stijve schouder. Lees verder over klachten na borstkanker .","Overgewicht, roken en alcohol maken het risico groter om borstkanker te krijgen. Lees verder over de oorzaken en risicofactoren van borstkanker .","Bij borstkanker zijn verschillende behandelingen mogelijk. Bijvoorbeeld een operatie, bestraling of chemotherapie. Vaak stelt de arts een combinatie van behandelingen voor. Welke behandeling(en) de arts voorstelt, hangt onder andere af van de soort borstkanker en het stadium van de ziekte. Lees verder over behandelingen bij borstkanker ."
Borstkanker bij mannen,https://www.kanker.nl/kankersoorten/borstkanker-bij-mannen/algemeen/wat-is-borstkanker-bij-mannen,"Borstkanker bij mannen ontstaat in de borst, bij de linker- of rechtertepel of op beide plekken. Borstkanker heet ook wel mammacarcinoom. Borstkanker komt bij mannen niet vaak voor. De behandeling is bijna hetzelfde als bij vrouwen.","Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is borstkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van borstkanker hangt af van verschillende dingen. Bijvoorbeeld van de soort borstkanker die je hebt en het stadium van de ziekte bij diagnose. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk ook de overlevingscijfers van borstkanker bij mannen .  ",Soms kun je een verandering in je borst voelen of zien. Bijvoorbeeld een knobbeltje of verandering aan je tepel. Lees verder over symptomen van borstkanker bij mannen . ,"Overgewicht, roken en alcohol maken het risico groter om borstkanker te krijgen. Borstkanker bij mannen kan ook ontstaan door erfelijke aanleg. Lees meer over de risicofactoren van borstkanker bij mannen . ","Bij borstkanker zijn verschillende behandelingen mogelijk. Bijvoorbeeld een operatie, bestraling of chemotherapie. Vaak stelt de arts een combinatie van behandelingen voor. Welke behandeling(en) de arts voorstelt, hangt onder andere af van de soort borstkanker en het stadium van de ziekte. Lees verder over behandelingen bij borstkanker ."
Botkanker (botsarcoom),https://www.kanker.nl/kankersoorten/botkanker-botsarcoom/algemeen/wat-is-botkanker-botsarcoom,Botkanker een zeldzame soort kanker. De kanker ontstaat in een bot. Dat kan in elk bot zijn. Een andere naam voor botkanker is botsarcoom.,"Veel mensen die net te horen hebben gekregen dat ze kanker hebben, willen iets weten over hun vooruitzichten. Wat staat er te gebeuren en hoe lang heb ik nog te leven? Soms is daar iets over te zeggen, maar vaak ook niet. Jouw kans om van botkanker te genezen of om lang zonder veel klachten te leven,  hangt af van verschillende dingen. Bijvoorbeeld van de soort botkanker , hoe groot de tumor is, of er uitzaaiingen zijn en of de behandeling goed aanslaat. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen.","Van botkanker heb je in het begin niet zoveel klachten. Als de tumor groter wordt, kun je klachten krijgen. Bijvoorbeeld pijn aan een bot of gewricht. Lees verder over de symptomen bij botkanker .","Iedereen kan botkanker krijgen. Bij sommige soorten botkanker zijn er risicofactoren waardoor de kans dat je kanker krijgt, groter is. Bijvoorbeeld door de aandoening Li-frauminisyndroom (LFS) .","Veel mensen met botkanker krijgen een operatie. De chirurg verwijdert dan de tumor uit het bot. Je krijgt soms voor of na de operatie bestraling of chemotherapie. Welke behandeling je precies krijgt, hoor je van je arts. Dat ligt aan de soort botkanker , hoe groot de tumor is en of er uitzaaiingen zijn. Lees verder over de behandeling van botkanker ."
Buikvlieskanker,https://www.kanker.nl/kankersoorten/buikvlieskanker/algemeen/wat-is-buikvlieskanker,Bij buikvlieskanker zitten er kankercellen op het buikvlies. Vaak zijn dit uitzaaiingen van kanker op een andere plek in je lichaam. Soms gaat het om pseudomyxoma peritonei of mesothelioom.,N/A,N/A,N/A,N/A
Darmkanker (dikkedarmkanker),https://www.kanker.nl/kankersoorten/darmkanker-dikkedarmkanker/algemeen/wat-is-darmkanker-dikkedarmkanker,"Darmkanker is kanker die in de darmen is ontstaan. Meestal zit darmkanker in de dikke darm. Het heet dan dikkedarmkanker of coloncarcinoom, maar mensen noemen het vaak darmkanker.",De prognose van darmkanker verschilt per persoon. Het maakt ook uit hoe ernstig de ziekte is: hoe groot de tumor is en of er uitzaaiingen zijn. Gemiddeld leven tien jaar na de diagnose dikkedarmkanker nog ongeveer 60 van de 100 mensen. Stel je vragen over je vooruitzichten aan je arts. Bekijk de overlevingscijfers van darmkanker .,"Als je een tumor in je darmen hebt, kan dat allerlei klachten geven. Een van de symptomen van darmkanker is bloed of slijm bij je ontlasting. Ook kun je last krijgen van verstopping door een tumor in de darm. Soms heb je helemaal geen klachten, maar wordt darmkanker ontdekt door het bevolkingsonderzoek of een ander onderzoek. De meest voorkomende klachten bij darmkanker: bloed en/of slijm in je ontlasting een verandering in je ontlasting die niet overgaat het gevoel dat je moet poepen, ook al moet je niet, of het gevoel dat de darm niet helemaal leeg is na het poepen afvallen zonder reden vermoeidheid die niet overgaat (vaak door bloedarmoede) minder zin in eten buikpijn of buikkramp Herken je de symptomen? Maak dan een afspraak bij de huisarts. Als je geen doorverwijzing krijgt, ga opnieuw naar je huisarts als de klachten aanhouden of terugkomen. Ga ook naar de huisarts als er darmkanker in de familie zit. Je kunt met hem of haar bespreken of je een erfelijkheidstest kunt krijgen. Of dat het misschien nodig is dat je een darmonderzoek krijgt. Let op: heb je bloed in je ontlasting? Dan is het altijd verstandig om een afspraak te maken met je huisarts. Bekijk de uitgebreide informatie over de symptomen van darmkanker .","Er is niet één oorzaak van darmkanker. Vaak ontstaat darmkanker uit een poliep in de darmwand . Wel zijn er factoren die de kans op darmkanker kunnen vergroten, zoals erfelijke aanleg voor darmkanker, chronische darmontsteking, veel darmpoliepen en/of een ongezonde leefstijl. Bekijk de uitgebreide informatie over risicofactoren van darmkanker .","Voor darmkanker zijn er verschillende behandelingen. De meeste mensen krijgen een operatie. Maar ook kan de arts chemotherapie voorstellen. Je krijgt soms meerdere behandelingen. Welke behandeling voor jou het meest geschikt is, hoor je van je arts. Bekijk de uitgebreide informatie over de behandeling van darmkanker ."
Dunnedarmkanker,https://www.kanker.nl/kankersoorten/dunnedarmkanker/algemeen/wat-is-dunnedarmkanker,"Dunnedarmkanker is kanker die in de dunne darm ontstaat. Dunnedarmkanker komt niet vaak voor. Omdat dunnedarmkanker vaak pas laat ontdekt wordt, zijn de vooruitzichten meestal niet goed.",N/A,N/A,N/A,N/A
Eierstokkanker,https://www.kanker.nl/kankersoorten/eierstokkanker/algemeen/wat-is-eierstokkanker,Eierstokkanker ontstaat meestal in een eileider. Vandaaruit verspreidt de kanker zich naar de buikholte en de eierstokken. Het medische woord voor kanker op een eierstok is ovariumcarcinoom. Eierstokkanker wordt vaak pas laat ontdekt.,"Het is begrijpelijk dat je meer wilt weten over je vooruitzichten. Is eierstokkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. Dat hangt af van verschillende dingen. Bijvoorbeeld of er uitzaaiingen zijn en hoe snel de kankercellen groeien en zich delen. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van eierstokkanker .",Van eierstokkanker heb je in het begin geen klachten. Vaak zaait de ziekte snel uit naar de buik. Dan krijg je meestal wel klachten. De symptomen zijn dan: buikpijn een dikkere buik een vol gevoel Lees verder over de symptomen van eierstokkanker .,Eierstokkanker ontstaat waarschijnlijk in de eileider. Er zijn factoren die het risico op eierstokkanker groter maken. Zoals veel eisprongen hebben in je leven. Ongeveer 1 op de 10 vrouwen krijgt de ziekte door een erfelijke aanleg. Lees meer over de oorzaken en risicofactoren van eierstokkanker .,De behandeling van eierstokkanker bestaat meestal uit een operatie en chemotherapie. Soms krijg je ook nog doelgerichte therapie. Lees verder over behandelingen bij eierstokkanker .
Endeldarmkanker,https://www.kanker.nl/kankersoorten/endeldarmkanker/algemeen/wat-is-endeldarmkanker,Endeldarmkanker is kanker die in de endeldarm ontstaat. De endeldarm is het laatste stuk van de dikke darm. De medische naam voor endeldarmkanker is rectumcarcinoom.,De prognose van endeldarmkanker verschilt per persoon. Het maakt ook uit hoe ernstig de ziekte is: hoe groot de tumor is en of er uitzaaiingen zijn. Gemiddeld leven tien jaar na de diagnose endeldarmkanker nog ongeveer 59 van de 100 mensen. Stel je vragen over je vooruitzichten aan je arts. Bekijk de overlevingscijfers van endeldarmkanker . ,"Als je een tumor in je endeldarm hebt, kan dat allerlei klachten geven. Een van de symptomen van endeldarmkanker is bloed of slijm bij je ontlasting. Ook kun je last krijgen van verstopping door een tumor in de darm. Bekijk de uitgebreide informatie over de symptomen van endeldarmkanker . ","Er is niet één oorzaak van endeldarmkanker. Vaak ontstaat de kanker uit een poliep in de darmwand . Wel zijn er factoren die de kans op endeldarmkanker kunnen vergroten, zoals erfelijke aanleg voor darmkanker, chronische darmontsteking, veel darmpoliepen en/of een ongezonde leefstijl. Bekijk de uitgebreide informatie over risicofactoren voor endeldarmkanker . ","Voor endeldarmkanker zijn er verschillende behandelingen. De meeste mensen krijgen een operatie. Ook kan bestraling of chemoradiatie een mogelijke behandeling zijn. Je krijgt soms meerdere behandelingen. Welke behandeling voor jou het meest geschikt is, hoor je van je arts. Bekijk de uitgebreide informatie over de behandelingen bij endeldarmkanker . Bij de behandeling van endeldarmkanker maakt het uit of de tumor alleen in de darm zit, is doorgegroeid of is uitgezaaid. Bekijk de mogelijke behandelingen per stadium . "
